WITTCASE NUMBER: HA002127
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
  0.10   	   0.00		 12.43   	  76.30		
  0.10   	   0.00		 12.74   	  76.30		
  0.10   	   0.00		 13.04   	  81.38		
  0.10   	   0.00		 13.37   	 111.90		
  0.10   	   0.00		 13.81   	 193.29		
  0.10   	   0.00		 14.59   	 412.00		
  0.10   	   5.09		 16.24   	 305.19		
  0.12   	  -5.09		 17.46   	 193.29		
  0.10   	   0.00		 18.23   	 203.46		
  0.10   	   0.00		 19.04   	 300.10		
  0.10   	   0.00		 20.24   	 437.43		
  0.10   	  -5.09		 21.99   	 564.60		
  0.08   	   5.09		 24.25   	 651.07		
  0.10   	   0.00		 26.86   	 732.45		
  0.10   	   0.00		 29.79   	 798.57		
  0.10   	   0.00		 32.98   	 859.61		
  0.10   	   0.00		 36.42   	 854.52		
  0.10   	   0.00		 39.84   	 793.49		
  0.10   	   0.00		 43.01   	 701.93		
  0.10   	   0.00		 45.82   	 595.11		
  0.10   	   0.00		 48.20   	 508.65		
  0.10   	   0.00		 50.23   	 417.09		
  0.10   	   0.00		 51.90   	 335.71		
  0.10   	   0.00		 53.24   	 254.32		
  0.10   	   0.00		 54.26   	 188.20		
  0.10   	   0.00		 55.02   	 137.33		
  0.10   	   5.09		 55.56   	 122.07		
  0.12   	  -5.09		 56.05   	 122.07		
  0.10   	   0.00		 56.54   	 162.77		
  0.10   	   0.00		 57.19   	 208.54		
  0.10   	   0.00		 58.03   	 412.00		
  0.10   	  -5.09		 59.67   	 488.30		
  0.08   	   0.00		 61.63   	 534.08		
  0.08   	   5.09		 63.76   	 544.25		
  0.10   	   0.00		 65.94   	 523.90		
  0.10   	  -5.09		 68.04   	 488.30		
  0.08   	   0.00		 69.99   	 406.92		
  0.08   	   5.09		 71.62   	 330.62		
  0.10   	   0.00		 72.94   	 279.75		
  0.10   	   0.00		 74.06   	 244.15		
  0.10   	  -5.09		 75.04   	 223.80		
  0.08   	   5.09		 75.93   	 213.63		
  0.10   	   0.00		 76.79   	 218.72		
  0.10   	   0.00		 77.66   	 249.24		
  0.10   	   0.00		 78.66   	 295.01		
  0.10   	   0.00		 79.84   	 330.62		
  0.10   	   0.00		 81.16   	 335.71		
  0.10   	   0.00		 82.50   	 340.79		
  0.10   	   0.00		 83.87   	 340.79		
  0.10   	   0.00		 85.23   	 320.45		
  0.10   	   5.09		 86.51   	 284.84		
  0.12   	  -5.09		 87.65   	 233.98		
  0.10   	   0.00		 88.59   	 183.11		
  0.10   	   0.00		 89.32   	 137.33		
  0.10   	   0.00		 89.87   	  91.56		
  0.10   	   0.00		 90.23   	  61.04		
  0.10   	   0.00		 90.48   	  25.43		
  0.10   	  -5.09		 90.58(S)	 -25.43		
  0.08   	   5.09		 90.48   	 -61.04		
  0.10   	   0.00		 90.23   	 -55.95		
  0.10   	  -5.09		 90.01   	 -25.43		
  0.08   	   5.09		 89.91   	   0.00		
  0.10   	   5.09		 89.91   	 -10.17		
  0.12   	  -5.09		 89.87   	 -50.86		
  0.10   	   0.00		 89.66   	 -86.47		
  0.10   	   0.00		 89.32   	-122.07		
  0.10   	   0.00		 88.83   	-172.94		
  0.10   	   0.00		 88.14   	-218.72		
  0.10   	   0.00		 87.26   	-233.98		
  0.10   	  -5.09		 86.33   	-274.67		
  0.08   	   5.09		 85.23   	-289.93		
  0.10   	   0.00		 84.07   	-295.01		
  0.10   	   0.00		 82.89   	-345.88		
  0.10   	   0.00		 81.51   	-406.92		
  0.10   	   0.00		 79.88   	-432.35		
  0.10   	   0.00		 78.15   	-432.35		
  0.10   	   0.00		 76.42   	-447.61		
  0.10   	   0.00		 74.63   	-447.61		
  0.10   	   0.00		 72.84   	-442.52		
  0.10   	   0.00		 71.07   	-452.69		
  0.10   	   0.00		 69.26   	-518.82		
  0.10   	   0.00		 67.18   	-656.15		
  0.10   	   0.00		 64.56   	-844.35		
  0.10   	   0.00		 61.18   	-976.60		
  0.10   	   0.00		 57.27   	-1047.81		
  0.10   	  -5.09		 53.08   	-1063.07		
  0.08   	   0.00		 48.83   	-1032.55		
  0.08   	   5.09		 44.70   	-961.34		
  0.10   	   0.00		 40.85   	-869.78		
  0.10   	   0.00		 37.38   	-768.05		
  0.10   	   0.00		 34.30   	-671.41		
  0.10   	   0.00		 31.62   	-574.77		
  0.10   	   0.00		 29.32   	-498.47		
  0.10   	   0.00		 27.32   	-473.04		
  0.10   	   0.00		 25.43   	-483.21		
  0.10   	   0.00		 23.50   	-483.21		
  0.10   	   0.00		 21.57   	-432.35		
  0.10   	   0.00		 19.84   	-381.48		
  0.10   	   0.00		 18.31   	-345.88		
  0.10   	   0.00		 16.93   	-340.79		
  0.10   	   0.00		 15.56   	-356.05		
  0.10   	   0.00		 14.14   	-356.05		
  0.10   	   0.00		 12.72   	-330.62		
  0.10   	   0.00		 11.39   	-279.75		
  0.10   	   0.00		 10.27   	-233.98		
  0.10   	   0.00		  9.34   	-193.29		
  0.10   	   0.00		  8.57   	-142.42		
  0.10   	   0.00		  8.00   	 -61.04		
  0.10   	   0.00		  7.75   	  20.35		
  0.10   	   0.00		  7.83   	  45.78		
  0.10   	   0.00		  8.02   	  35.61		
  0.10   	   0.00		  8.16   	  15.26		
  0.10   	   5.09		  8.22   	   0.00		
  0.12   	   0.00		  8.22   	 -10.17		
  0.12   	  -5.09		  8.18   	 -25.43		
  0.10   	   0.00		  8.08   	 -35.61		
  0.10   	   0.00		  7.93   	 -35.61		
  0.10   	   0.00		  7.79   	 -40.69		
  0.10   	   0.00		  7.63   	 -35.61		
  0.10   	   0.00		  7.49   	 -25.43		
  0.10   	   0.00		  7.39(D)	   5.09		
  0.10   	   0.00		  7.41   	  45.78		
  0.10   	   0.00		  7.59   	  81.38		
  0.10   	   0.00		  7.91   	 111.90		
  0.10   	   0.00		  8.36   	 101.73		
  0.10   	   0.00		  8.77   	  81.38		
  0.10   	   0.00		  9.09   	  50.86		
  0.10   	   0.00		  9.30   	  35.61		
  0.10   	   0.00		  9.44   	  35.61		
  0.10   	   0.00		  9.58   	  20.35		
  0.10   	   0.00		  9.66   	 -35.61		
  0.10   	  -5.09		  9.52   	 -96.64		
  0.08   	   5.09		  9.14   	 -96.64		
  0.10   	   0.00		  8.75   	 -55.95		
  0.10   	   0.00		  8.52   	  20.35		
  0.10   	   0.00		  8.61   	  81.38		
  0.10   	   0.00		  8.93   	 116.99		
  0.10   	   5.09		  9.40   	 137.33		
  0.12   	  -5.09		  9.95   	 137.33		
  0.10   	   0.00		 10.50   	 137.33		
  0.10   	   0.00		 11.05   	 122.07		
  0.10   	   5.09		 11.54   	  91.56		
  0.12   	   0.00		 11.90   	  40.69		
  0.12   	  -5.09		 12.07   	  10.17		
  0.10   	   0.00		 12.11   	   5.09		
  0.10   	   0.00		 12.13   	  25.43		
  0.10   	   0.00		 12.23(E)	  45.78		
  0.10   	   0.00		 12.41   	  76.30		
  0.10   	   0.00		 12.72   	 111.90		
  0.10   	   0.00		 13.16   	 157.68		
  0.10   	   5.09		 13.79   	 213.63		
  0.12   	  -5.09		 14.65   	 305.19		
  0.10   	   0.00		 15.87   	 422.18		
  0.10   	   5.09		 17.56   	 249.24		
  0.12   	   0.00		 18.56   	  86.47		
  0.12   	  -5.09		 18.90   	  50.86		
  0.10   	   0.00		 19.10   	 147.51		
  0.10   	   0.00		 19.69   	 289.93		
  0.10   	   0.00		 20.85   	 452.69		
  0.10   	   0.00		 22.67   	 590.03		
  0.10   	   0.00		 25.03   	 707.02		
  0.10   	   0.00		 27.85   	 798.57		
  0.10   	   0.00		 31.05   	 859.61		
  0.10   	   0.00		 34.49   	 885.04		
  0.10   	   0.00		 38.03   	 859.61		
  0.10   	   5.09		 41.46   	 793.49		
  0.12   	   0.00		 44.64   	 681.58		
  0.12   	  -5.09		 47.37   	 544.25		
  0.10   	   0.00		 49.54   	 391.66		
  0.10   	   0.00		 51.11   	 264.50		
  0.10   	   5.09		 52.17   	 172.94		
  0.12   	  -5.09		 52.86   	 127.16		
  0.10   	   0.00		 53.37   	 122.07		
  0.10   	   0.00		 53.86   	 132.25		
  0.10   	   5.09		 54.38   	 167.85		
  0.12   	  -5.09		 55.06   	 239.06		
  0.10   	   0.00		 56.01   	 305.19		
  0.10   	   5.09		 57.23   	 462.87		
  0.12   	  -5.09		 59.08   	 493.39		
  0.10   	   0.00		 61.06   	 493.39		
  0.10   	   0.00		 63.03   	 493.39		
  0.10   	   0.00		 65.00   	 473.04		
  0.10   	   0.00		 66.90   	 437.43		
  0.10   	   0.00		 68.65   	 371.31		
  0.10   	   0.00		 70.13   	 310.27		
  0.10   	   0.00		 71.37   	 274.67		
  0.10   	   0.00		 72.47   	 264.50		
  0.10   	   0.00		 73.53   	 259.41		
  0.10   	   0.00		 74.57   	 259.41		
  0.10   	   0.00		 75.60   	 284.84		
  0.10   	   0.00		 76.74   	 320.45		
  0.10   	   0.00		 78.03   	 345.88		
  0.10   	   0.00		 79.41   	 350.97		
  0.10   	   0.00		 80.81   	 345.88		
  0.10   	   5.09		 82.20   	 340.79		
  0.12   	  -5.09		 83.56   	 330.62		
  0.10   	   0.00		 84.88   	 295.01		
  0.10   	   0.00		 86.06   	 259.41		
  0.10   	   5.09		 87.10   	 218.72		
  0.12   	  -5.09		 87.98   	 172.94		
  0.10   	   0.00		 88.67   	 132.25		
  0.10   	   0.00		 89.20   	  96.64		
  0.10   	   5.09		 89.58   	  76.30		
  0.12   	  -5.09		 89.89   	  40.69		
  0.10   	   0.00		 90.05   	  15.26		
  0.10   	   0.00		 90.11(S)	 -10.17		
  0.10   	   5.09		 90.07   	 -35.61		
  0.12   	   0.00		 89.93   	 -30.52		
  0.12   	  -5.09		 89.81   	 -30.52		
  0.10   	   0.00		 89.68   	 -35.61		
  0.10   	   0.00		 89.54   	 -50.86		
  0.10   	   5.09		 89.34   	 -91.56		
  0.12   	  -5.09		 88.97   	-137.33		
  0.10   	   0.00		 88.42   	-142.42		
  0.10   	   0.00		 87.85   	-127.16		
  0.10   	   5.09		 87.34   	-162.77		
  0.12   	   0.00		 86.69   	-228.89		
  0.12   	  -5.09		 85.78   	-264.50		
  0.10   	   0.00		 84.72   	-284.84		
  0.10   	   5.09		 83.58   	-300.10		
  0.12   	   0.00		 82.38   	-356.05		
  0.12   	  -5.09		 80.96   	-442.52		
  0.10   	   0.00		 79.19   	-503.56		
  0.10   	   0.00		 77.17   	-488.30		
  0.10   	   0.00		 75.22   	-442.52		
  0.10   	   0.00		 73.45   	-417.09		
  0.10   	   0.00		 71.78   	-406.92		
  0.10   	   0.00		 70.15   	-457.78		
  0.10   	   0.00		 68.32   	-595.11		
  0.10   	   0.00		 65.94   	-808.75		
  0.10   	   0.00		 62.71   	-996.94		
  0.10   	   5.09		 58.72   	-1103.76		
  0.12   	   0.00		 54.30   	-1139.36		
  0.12   	  -5.09		 49.75   	-1093.59		
  0.10   	   0.00		 45.37   	-1012.20		
  0.10   	   5.09		 41.32   	-910.47		
  0.12   	  -5.09		 37.68   	-783.31		
  0.10   	   0.00		 34.55   	-686.67		
  0.10   	   0.00		 31.80   	-620.55		
  0.10   	   0.00		 29.32   	-559.51		
  0.10   	   0.00		 27.08   	-508.65		
  0.10   	  -5.09		 25.05   	-478.13		
  0.08   	   5.09		 23.13   	-442.52		
  0.10   	   5.09		 21.36   	-401.83		
  0.12   	  -5.09		 19.76   	-356.05		
  0.10   	   0.00		 18.33   	-335.71		
  0.10   	   0.00		 16.99   	-361.14		
  0.10   	   0.00		 15.54   	-376.40		
  0.10   	   0.00		 14.04   	-371.31		
  0.10   	   0.00		 12.55   	-325.53		
  0.10   	   0.00		 11.25   	-284.84		
  0.10   	   0.00		 10.11   	-223.80		
  0.10   	   0.00		  9.22   	-147.51		
  0.10   	   0.00		  8.63   	 -61.04		
  0.10   	   0.00		  8.38   	   5.09		
  0.10   	   0.00		  8.40   	  61.04		
  0.10   	   5.09		  8.65   	  96.64		
  0.12   	   0.00		  9.03   	 122.07		
  0.12   	  -5.09		  9.52   	 106.82		
  0.10   	   0.00		  9.95   	  71.21		
  0.10   	   0.00		 10.23   	  15.26		
  0.10   	   0.00		 10.29   	 -55.95		
  0.10   	   0.00		 10.07   	-106.82		
  0.10   	   0.00		  9.64   	-116.99		
  0.10   	   0.00		  9.18   	-132.25		
  0.10   	   0.00		  8.65   	-137.33		
  0.10   	   0.00		  8.10   	-142.42		
  0.10   	   0.00		  7.53   	-127.16		
  0.10   	   0.00		  7.02   	 -86.47		
  0.10   	   0.00		  6.67   	 -30.52		
  0.10   	   0.00		  6.55(D)	  35.61		
  0.10   	   0.00		  6.69   	  96.64		
  0.10   	   0.00		  7.08   	 147.51		
  0.10   	   5.09		  7.67   	 183.11		
  0.12   	  -5.09		  8.40   	 198.37		
  0.10   	   0.00		  9.20   	 188.20		
  0.10   	   0.00		  9.95   	 157.68		
  0.10   	   0.00		 10.58   	 111.90		
  0.10   	   0.00		 11.03   	  71.21		
  0.10   	   0.00		 11.31   	  30.52		
  0.10   	   0.00		 11.43   	  10.17		
  0.10   	   0.00		 11.48   	   0.00		
  0.10   	   5.09		 11.48   	 -20.35		
  0.12   	  -5.09		 11.39   	 -30.52		
  0.10   	   0.00		 11.27   	 -40.69		
  0.10   	   0.00		 11.11   	 -50.86		
  0.10   	   0.00		 10.91   	 -45.78		
  0.10   	   0.00		 10.72   	 -35.61		
  0.10   	   0.00		 10.58   	 -25.43		
  0.10   	   0.00		 10.48   	 -15.26		
  0.10   	   0.00		 10.42   	  10.17		
  0.10   	   0.00		 10.46(E)	  76.30		
  0.10   	   0.00		 10.76   	 147.51		
  0.10   	   0.00		 11.35   	 208.54		
  0.10   	   0.00		 12.19   	 218.72		
  0.10   	   0.00		 13.06   	 208.54		
  0.10   	   0.00		 13.90   	 208.54		
  0.10   	   5.09		 14.73   	 193.29		
  0.12   	   0.00		 15.50   	 193.29		
  0.12   	  -5.09		 16.28   	 198.37		
  0.10   	   0.00		 17.07   	 188.20		
  0.10   	   5.09		 17.82   	  55.95		
  0.12   	  -5.09		 18.05   	 -25.43		
  0.10   	   0.00		 17.94   	  10.17		
  0.10   	   0.00		 17.99   	 167.85		
  0.10   	   5.09		 18.66   	 371.31		
  0.12   	   0.00		 20.14   	 564.60		
  0.12   	  -5.09		 22.40   	 696.84		
  0.10   	   0.00		 25.19   	 803.66		
  0.10   	   5.09		 28.40   	 879.96		
  0.12   	  -5.09		 31.92   	 915.56		
  0.10   	   0.00		 35.58   	 890.13		
  0.10   	   0.00		 39.15   	 824.00		
  0.10   	   0.00		 42.44   	 712.10		
  0.10   	   0.00		 45.29   	 595.11		
  0.10   	   0.00		 47.67   	 483.21		
  0.10   	   0.00		 49.60   	 381.48		
  0.10   	   5.09		 51.13   	 284.84		
  0.12   	   0.00		 52.27   	 172.94		
  0.12   	  -5.09		 52.96   	 106.82		
  0.10   	   0.00		 53.39   	 101.73		
  0.10   	   0.00		 53.79   	 147.51		
  0.10   	   5.09		 54.38   	 188.20		
  0.12   	   0.00		 55.14   	 233.98		
  0.12   	  -5.09		 56.07   	 300.10		
  0.10   	   0.00		 57.27   	 417.09		
  0.10   	   0.00		 58.94   	 401.83		
  0.10   	   0.00		 60.55   	 381.48		
  0.10   	   0.00		 62.08   	 391.66		
  0.10   	   0.00		 63.64   	 417.09		
  0.10   	   0.00		 65.31   	 417.09		
  0.10   	   0.00		 66.98   	 391.66		
  0.10   	   0.00		 68.55   	 361.14		
  0.10   	   0.00		 69.99   	 330.62		
  0.10   	   0.00		 71.31   	 315.36		
  0.10   	   0.00		 72.57   	 315.36		
  0.10   	  -5.09		 73.83   	 310.27		
  0.08   	   5.09		 75.08   	 315.36		
  0.10   	   0.00		 76.34   	 315.36		
  0.10   	   0.00		 77.60   	 315.36		
  0.10   	   0.00		 78.86   	 310.27		
  0.10   	   0.00		 80.10   	 310.27		
  0.10   	   5.09		 81.34   	 300.10		
  0.12   	   0.00		 82.54   	 289.93		
  0.12   	  -5.09		 83.70   	 274.67		
  0.10   	   5.09		 84.80   	 264.50		
  0.12   	   0.00		 85.86   	 239.06		
  0.12   	   0.00		 86.82   	 198.37		
  0.12   	  -5.09		 87.61   	 147.51		
  0.10   	   0.00		 88.20   	 111.90		
  0.10   	   5.09		 88.65   	  66.12		
  0.12   	  -5.09		 88.91(S)	   0.00		
  0.10   	   0.00		 88.91   	 -20.35		
  0.10   	   0.00		 88.83   	 -10.17		
  0.10   	   0.00		 88.79   	   5.09		
  0.10   	   0.00		 88.81   	 -10.17		
  0.10   	   0.00		 88.77   	 -25.43		
  0.10   	   0.00		 88.67   	 -25.43		
  0.10   	   5.09		 88.57   	 -20.35		
  0.12   	  -5.09		 88.48   	 -66.12		
  0.10   	   0.00		 88.22   	-127.16		
  0.10   	   0.00		 87.71   	-188.20		
  0.10   	   5.09		 86.96   	-208.54		
  0.12   	  -5.09		 86.12   	-162.77		
  0.10   	   0.00		 85.47   	-172.94		
  0.10   	   0.00		 84.78   	-259.41		
  0.10   	   0.00		 83.74   	-335.71		
  0.10   	   5.09		 82.40   	-386.57		
  0.12   	  -5.09		 80.85   	-422.18		
  0.10   	   0.00		 79.17   	-417.09		
  0.10   	   5.09		 77.50   	-427.26		
  0.12   	   0.00		 75.79   	-457.78		
  0.12   	   0.00		 73.96   	-508.65		
  0.12   	  -5.09		 71.92   	-534.08		
  0.10   	   0.00		 69.79   	-488.30		
  0.10   	   5.09		 67.83   	-422.18		
  0.12   	   0.00		 66.14   	-457.78		
  0.12   	  -5.09		 64.31   	-656.15		
  0.10   	   0.00		 61.69   	-930.82		
  0.10   	   0.00		 57.97   	-1113.93		
  0.10   	   0.00		 53.51   	-1149.54		
  0.10   	   0.00		 48.91   	-1083.41		
  0.10   	   0.00		 44.58   	-991.86		
  0.10   	   0.00		 40.61   	-915.56		
  0.10   	   0.00		 36.95   	-818.92		
  0.10   	 -10.17		 33.67   	-696.84		
  0.06   	  -5.09		 30.88   	-559.51		
  0.04   	   0.00		 28.65   	-467.95		
  0.04   	  -5.09		 26.78   	-473.04		
  0.02   	 -10.17		 24.88   	-488.30		
 -0.02   	 -15.26		 22.93   	-452.69		
 -0.08   	 -10.17		 21.12   	-366.22		
 -0.12   	  -5.09		 19.65   	-315.36		
 -0.14   	 -10.17		 18.39   	-310.27		
 -0.18   	  -5.09		 17.15   	-335.71		
 -0.20   	  -5.09		 15.81   	-350.97		
 -0.22   	   0.00		 14.40   	-345.88		
 -0.22   	  -5.09		 13.02   	-335.71		
 -0.24   	   0.00		 11.68   	-330.62		
 -0.24   	   0.00		 10.36   	-315.36		
 -0.24   	   5.09		  9.09   	-264.50		
 -0.22   	  -5.09		  8.04   	-183.11		
 -0.24   	   0.00		  7.30   	 -76.30		
 -0.24   	   5.09		  7.00   	  20.35		
 -0.22   	   0.00		  7.08   	 101.73		
 -0.22   	  -5.09		  7.49   	 127.16		
 -0.24   	  -5.09		  8.00   	 111.90		
 -0.26   	   0.00		  8.44   	  86.47		
 -0.26   	   0.00		  8.79   	  66.12		
 -0.26   	   5.09		  9.05   	  50.86		
 -0.24   	   0.00		  9.26   	  15.26		
 -0.24   	   0.00		  9.32   	 -45.78		
 -0.24   	   5.09		  9.14   	 -76.30		
 -0.22   	   0.00		  8.83   	 -91.56		
 -0.22   	  -5.09		  8.46   	 -96.64		
 -0.24   	   0.00		  8.08   	-106.82		
 -0.24   	   0.00		  7.65   	-111.90		
 -0.24   	   0.00		  7.20   	 -81.38		
 -0.24   	  -5.09		  6.88   	 -35.61		
 -0.26   	   0.00		  6.73(D)	   5.09		
 -0.26   	   5.09		  6.75   	  30.52		
 -0.24   	   0.00		  6.88   	  55.95		
 -0.24   	   0.00		  7.10   	 127.16		
 -0.24   	  -5.09		  7.61   	 208.54		
 -0.26   	   5.09		  8.44   	 228.89		
 -0.24   	   0.00		  9.36   	 188.20		
 -0.24   	   0.00		 10.11   	  96.64		
 -0.24   	   0.00		 10.50   	  15.26		
 -0.24   	   0.00		 10.56   	 -15.26		
 -0.24   	   5.09		 10.50   	  10.17		
 -0.22   	   0.00		 10.54   	  50.86		
 -0.22   	  -5.09		 10.74   	  50.86		
 -0.24   	   0.00		 10.95   	  35.61		
 -0.24   	   5.09		 11.09   	  35.61		
 -0.22   	   0.00		 11.23   	  50.86		
 -0.22   	  -5.09		 11.43   	  61.04		
 -0.24   	  -5.09		 11.68   	  45.78		
 -0.26   	   5.09		 11.86   	  30.52		
 -0.24   	   5.09		 11.98   	  30.52		
 -0.22   	  -5.09		 12.11   	  35.61		
 -0.24   	   0.00		 12.25   	  50.86		
 -0.24   	   0.00		 12.45   	  61.04		
 -0.24   	   5.09		 12.70(E)	  66.12		
 -0.22   	  -5.09		 12.96   	  86.47		
 -0.24   	  -5.09		 13.31   	 111.90		
 -0.26   	   5.09		 13.75   	 132.25		
 -0.24   	   5.09		 14.28   	 157.68		
 -0.22   	  -5.09		 14.91   	 203.46		
 -0.24   	   0.00		 15.73   	 264.50		
 -0.24   	   0.00		 16.79   	 188.20		
 -0.24   	   0.00		 17.54   	 137.33		
 -0.24   	   0.00		 18.09   	 127.16		
 -0.24   	   5.09		 18.60   	 193.29		
 -0.22   	   0.00		 19.37   	 300.10		
 -0.22   	   0.00		 20.57   	 427.26		
 -0.22   	   0.00		 22.28   	 559.51		
 -0.22   	   0.00		 24.52   	 676.50		
 -0.22   	   0.00		 27.22   	 762.97		
 -0.22   	   0.00		 30.27   	 818.92		
 -0.22   	  -5.09		 33.55   	 813.83		
 -0.24   	   0.00		 36.81   	 793.49		
 -0.24   	   5.09		 39.98   	 752.79		
 -0.22   	   0.00		 42.99   	 681.58		
 -0.22   	  -5.09		 45.72   	 569.68		
 -0.24   	   0.00		 48.00   	 442.52		
 -0.24   	   5.09		 49.77   	 325.53		
 -0.22   	   0.00		 51.07   	 244.15		
 -0.22   	   0.00		 52.04   	 178.03		
 -0.22   	   0.00		 52.76   	 147.51		
 -0.22   	   0.00		 53.35   	 132.25		
 -0.22   	   0.00		 53.88   	 127.16		
 -0.22   	   0.00		 54.38   	 157.68		
 -0.22   	   0.00		 55.02   	 223.80		
 -0.22   	   0.00		 55.91   	 427.26		
 -0.22   	   0.00		 57.62   	 452.69		
 -0.22   	  -5.09		 59.43   	 447.61		
 -0.24   	   0.00		 61.22   	 422.18		
 -0.24   	   5.09		 62.91   	 396.74		
 -0.22   	   0.00		 64.50   	 366.22		
 -0.22   	  -5.09		 65.96   	 310.27		
 -0.24   	   0.00		 67.20   	 269.58		
 -0.24   	   5.09		 68.28   	 244.15		
 -0.22   	   0.00		 69.26   	 249.24		
 -0.22   	   0.00		 70.25   	 279.75		
 -0.22   	  -5.09		 71.37   	 315.36		
 -0.24   	   5.09		 72.63   	 345.88		
 -0.22   	   0.00		 74.02   	 381.48		
 -0.22   	   0.00		 75.54   	 391.66		
 -0.22   	  -5.09		 77.11   	 381.48		
 -0.24   	   5.09		 78.64   	 371.31		
 -0.22   	   5.09		 80.12   	 350.97		
 -0.20   	   0.00		 81.53   	 320.45		
 -0.20   	  -5.09		 82.81   	 295.01		
 -0.22   	   5.09		 83.99   	 269.58		
 -0.20   	   0.00		 85.07   	 239.06		
 -0.20   	  -5.09		 86.02   	 167.85		
 -0.22   	   0.00		 86.69   	 106.82		
 -0.22   	   0.00		 87.12   	  50.86		
 -0.22   	   5.09		 87.32   	  20.35		
 -0.20   	  -5.09		 87.41   	  20.35		
 -0.22   	  -5.09		 87.49(S)	 -10.17		
 -0.24   	   5.09		 87.45   	 -61.04		
 -0.22   	   5.09		 87.20   	 -76.30		
 -0.20   	  -5.09		 86.90   	 -55.95		
 -0.22   	   0.00		 86.67   	  -5.09		
 -0.22   	   0.00		 86.65   	   0.00		
 -0.22   	   5.09		 86.65   	 -45.78		
 -0.20   	   0.00		 86.47   	 -76.30		
 -0.20   	  -5.09		 86.16   	 -86.47		
 -0.22   	   0.00		 85.82   	 -91.56		
 -0.22   	   0.00		 85.45   	-101.73		
 -0.22   	   5.09		 85.05   	-147.51		
 -0.20   	  -5.09		 84.46   	-213.63		
 -0.22   	   0.00		 83.60   	-259.41		
 -0.22   	   0.00		 82.56   	-295.01		
 -0.22   	   0.00		 81.38   	-330.62		
 -0.22   	   0.00		 80.06   	-381.48		
 -0.22   	   0.00		 78.53   	-447.61		
 -0.22   	   0.00		 76.74   	-462.87		
 -0.22   	   5.09		 74.89   	-412.00		
 -0.20   	   0.00		 73.24   	-396.74		
 -0.20   	  -5.09		 71.66   	-427.26		
 -0.22   	   0.00		 69.95   	-457.78		
 -0.22   	   5.09		 68.12   	-483.21		
 -0.20   	  -5.09		 66.18   	-559.51		
 -0.22   	  -5.09		 63.95   	-717.19		
 -0.24   	   5.09		 61.08   	-930.82		
 -0.22   	   5.09		 57.35   	-1083.41		
