WITTCASE NUMBER: HA002206
SAMPLE NUMBER:   22
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  LV     	  LV'		
 16.28   	 -45.78		 11.45   	  20.35		
 16.09   	 -45.78		 11.54   	  20.35		
 15.91   	 -50.86		 11.62   	  15.26		
 15.71   	 -45.78		 11.68   	  20.35		
 15.52   	 -40.69		 11.76   	  20.35		
 15.36   	 -35.61		 11.84   	  20.35		
 15.22   	 -35.61		 11.92   	  25.43		
 15.08   	 -30.52		 12.02   	  20.35		
 14.95   	 -30.52		 12.11   	  20.35		
 14.83   	 -25.43		 12.19   	  20.35		
 14.73   	 -20.35		 12.27   	  20.35		
 14.65   	 -15.26		 12.35   	  20.35		
 14.59   	 -20.35		 12.43   	  20.35		
 14.51   	 -15.26		 12.51   	  15.26		
 14.45   	 -10.17		 12.57   	  15.26		
 14.40   	 -15.26		 12.63   	  10.17		
 14.34   	 -10.17		 12.68   	   5.09		
 14.30   	 -15.26		 12.70   	  10.17		
 14.24   	 -10.17		 12.74   	  10.17		
 14.20   	 -10.17		 12.78   	  10.17		
 14.16   	  -5.09		 12.82   	  10.17		
 14.14   	  -5.09		 12.86   	  10.17		
 14.12   	  -5.09		 12.90   	  15.26		
 14.10   	  -5.09		 12.96   	  10.17		
 14.08   	  -5.09		 13.00   	  15.26		
 14.06   	  -5.09		 13.06   	  20.35		
 14.04   	   0.00		 13.14   	  15.26		
 14.04   	  -5.09		 13.20   	  15.26		
 14.02   	   5.09		 13.27   	  10.17		
 14.04   	   0.00		 13.31   	  10.17		
 14.04   	   5.09		 13.35   	  10.17		
 14.06   	  10.17		 13.39   	  10.17		
 14.10   	  15.26		 13.43   	  20.35		
 14.16   	  10.17		 13.51   	  20.35		
 14.20   	  15.26		 13.59   	  25.43		
 14.26   	   5.09		 13.69   	  20.35		
 14.28   	   5.09		 13.77   	  20.35		
 14.30   	   5.09		 13.86(E)	  15.26		
 14.32   	   5.09		 13.92   	  10.17		
 14.34   	   0.00		 13.96   	  15.26		
 14.34   	  -5.09		 14.02   	  10.17		
 14.32   	  -5.09		 14.06   	  10.17		
 14.30   	   0.00		 14.10   	  15.26		
 14.30   	  -5.09		 14.16   	  35.61		
 14.28   	  -5.09		 14.30   	  50.86		
 14.26   	   0.00		 14.51   	  81.38		
 14.26   	   0.00		 14.83   	 111.90		
 14.26   	  10.17		 15.28   	 147.51		
 14.30   	  20.35		 15.87   	 178.03		
 14.38   	  30.52		 16.58   	 208.54		
 14.51   	  45.78		 17.42   	 249.24		
 14.69   	  61.04		 18.41   	 289.93		
 14.93   	  86.47		 19.57   	 320.45		
 15.28   	 122.07		 20.85   	 381.48		
 15.77   	 162.77		 22.38   	 493.39		
 16.42   	 218.72		 24.35   	 610.37		
 17.29   	 244.15		 26.80   	 696.84		
 18.27   	 183.11		 29.58   	 747.71		
 19.00   	  66.12		 32.57   	 798.57		
 19.27   	  40.69		 35.77   	 808.75		
 19.43   	  66.12		 39.00   	 808.75		
 19.69   	  55.95		 42.24   	 834.18		
 19.92   	  61.04		 45.57   	 742.62		
 20.16   	  71.21		 48.55   	 666.32		
 20.45   	  96.64		 51.21   	 635.81		
 20.83   	 106.82		 53.75   	 620.55		
 21.26   	 116.99		 56.24   	 584.94		
 21.73   	 122.07		 58.58   	 569.68		
 22.22   	 122.07		 60.85   	 528.99		
 22.71   	 116.99		 62.97   	 442.52		
 23.17   	 111.90		 64.74   	 406.92		
 23.62   	 101.73		 66.37   	 406.92		
 24.03   	  86.47		 68.00   	 376.40		
 24.37   	  66.12		 69.50   	 320.45		
 24.64   	  50.86		 70.78   	 295.01		
 24.84   	  40.69		 71.96   	 289.93		
 25.00   	  25.43		 73.12   	 269.58		
 25.11   	  20.35		 74.20   	 244.15		
 25.19   	   5.09		 75.18   	 233.98		
 25.21   	   5.09		 76.11   	 223.80		
 25.23   	  15.26		 77.01   	 203.46		
 25.29   	  10.17		 77.82   	 183.11		
 25.33   	  20.35		 78.56   	 162.77		
 25.41   	  30.52		 79.21   	 147.51		
 25.53   	  35.61		 79.80   	 142.42		
 25.68   	  30.52		 80.37   	 116.99		
 25.80   	  50.86		 80.83   	  96.64		
 26.00   	  45.78		 81.22   	  76.30		
 26.19   	  40.69		 81.53   	  66.12		
 26.35   	  20.35		 81.79   	  45.78		
 26.43   	  25.43		 81.97   	  40.69		
 26.53   	  15.26		 82.14   	  25.43		
 26.59   	   5.09		 82.24   	  20.35		
 26.61   	 -15.26		 82.32   	  10.17		
 26.55   	 -10.17		 82.36(S)	  -5.09		
 26.51   	   0.00		 82.34   	 -10.17		
 26.51   	   5.09		 82.30   	 -10.17		
 26.53   	   5.09		 82.26   	 -15.26		
 26.55   	  15.26		 82.20   	 -15.26		
 26.61   	  25.43		 82.14   	 -15.26		
 26.71   	  25.43		 82.07   	 -25.43		
 26.82   	  20.35		 81.97   	 -30.52		
 26.90   	  20.35		 81.85   	 -20.35		
 26.98   	  15.26		 81.77   	 -15.26		
 27.04   	  15.26		 81.71   	 -30.52		
 27.10   	   5.09		 81.59   	 -35.61		
 27.12(S)	  -5.09		 81.44   	 -30.52		
 27.10   	  -5.09		 81.32   	 -25.43		
 27.08   	 -15.26		 81.22   	 -30.52		
 27.02   	 -20.35		 81.10   	 -35.61		
 26.94   	 -15.26		 80.96   	 -45.78		
 26.88   	  -5.09		 80.77   	 -55.95		
 26.86   	  -5.09		 80.55   	 -50.86		
 26.84   	  -5.09		 80.35   	 -55.95		
 26.82   	   5.09		 80.12   	 -61.04		
 26.84   	  10.17		 79.88   	 -71.21		
 26.88   	   5.09		 79.59   	 -71.21		
 26.90   	  10.17		 79.31   	 -66.12		
 26.94   	   5.09		 79.04   	 -76.30		
 26.96   	  10.17		 78.74   	 -86.47		
 27.00   	   0.00		 78.39   	 -86.47		
 27.00   	  -5.09		 78.05   	 -81.38		
 26.98   	 -10.17		 77.72   	 -91.56		
 26.94   	 -20.35		 77.35   	-106.82		
 26.86   	 -20.35		 76.93   	-127.16		
 26.78   	 -25.43		 76.42   	-137.33		
 26.67   	 -30.52		 75.87   	-152.59		
 26.55   	 -30.52		 75.26   	-188.20		
 26.43   	 -35.61		 74.51   	-228.89		
 26.29   	 -35.61		 73.59   	-269.58		
 26.14   	 -30.52		 72.51   	-330.62		
 26.02   	 -40.69		 71.19   	-386.57		
 25.86   	 -40.69		 69.64   	-462.87		
 25.70   	 -50.86		 67.79   	-544.25		
 25.49   	 -66.12		 65.62   	-640.89		
 25.23   	 -81.38		 63.05   	-762.97		
 24.90   	 -96.64		 60.00   	-925.73		
 24.52   	-111.90		 56.30   	-986.77		
 24.07   	-137.33		 52.35   	-961.34		
 23.52   	-157.68		 48.50   	-946.08		
 22.89   	-157.68		 44.72   	-966.43		
 22.26   	-127.16		 40.85   	-935.91		
 21.75   	 -81.38		 37.11   	-844.35		
 21.42   	 -45.78		 33.73   	-742.62		
 21.24   	  -5.09		 30.76   	-656.15		
 21.22   	  30.52		 28.14   	-579.86		
 21.34   	  71.21		 25.82   	-498.47		
 21.63   	 101.73		 23.82   	-432.35		
 22.03   	 116.99		 22.10   	-386.57		
 22.50   	 116.99		 20.55   	-361.14		
 22.97   	 116.99		 19.10   	-335.71		
 23.44   	 116.99		 17.76   	-320.45		
 23.91   	 106.82		 16.48   	-310.27		
 24.33   	  91.56		 15.24   	-300.10		
 24.70   	  71.21		 14.04   	-289.93		
 24.98   	  66.12		 12.88   	-300.10		
 25.25   	  71.21		 11.68   	-279.75		
 25.53   	  40.69		 10.56   	-259.41		
 25.70   	  10.17		  9.52   	-223.80		
 25.74   	  10.17		  8.63   	-183.11		
 25.78   	  -5.09		  7.89   	-137.33		
 25.76   	 -45.78		  7.34   	-111.90		
 25.57   	 -71.21		  6.90   	 -71.21		
 25.29   	 -76.30		  6.61   	 -45.78		
 24.98   	 -81.38		  6.43   	 -30.52		
 24.66   	 -91.56		  6.31(D)	   0.00		
 24.29   	 -96.64		  6.31   	  35.61		
 23.91   	 -96.64		  6.45   	  30.52		
 23.52   	-106.82		  6.57   	  35.61		
 23.09   	-132.25		  6.71   	  61.04		
 22.56   	-122.07		  6.96   	  66.12		
 22.08   	-106.82		  7.22   	  66.12		
 21.65   	 -91.56		  7.49   	  66.12		
 21.28   	 -86.47		  7.75   	  66.12		
 20.94   	 -55.95		  8.02   	  55.95		
 20.71   	 -50.86		  8.24   	  45.78		
 20.51   	 -40.69		  8.42   	  35.61		
 20.35   	 -25.43		  8.57   	  30.52		
 20.24   	 -45.78		  8.69   	  15.26		
 20.06   	 -66.12		  8.75   	  10.17		
 19.80   	 -45.78		  8.79   	  15.26		
 19.61   	 -45.78		  8.85   	  10.17		
 19.43   	 -50.86		  8.89   	  10.17		
 19.23   	 -50.86		  8.93   	  20.35		
 19.02   	 -50.86		  9.01   	  25.43		
 18.82   	 -35.61		  9.11   	  30.52		
 18.68   	 -40.69		  9.24   	  45.78		
 18.51   	 -40.69		  9.42   	  50.86		
 18.35   	 -35.61		  9.62   	  55.95		
 18.21   	 -40.69		  9.85   	  45.78		
 18.05   	 -40.69		 10.03   	  45.78		
 17.88   	 -45.78		 10.21   	  40.69		
 17.70   	 -45.78		 10.38   	  45.78		
 17.52   	 -35.61		 10.56   	  50.86		
 17.38   	 -35.61		 10.76   	  50.86		
 17.23   	 -40.69		 10.97   	  40.69		
 17.07   	 -45.78		 11.13   	  35.61		
 16.89   	 -50.86		 11.27   	  35.61		
 16.68   	 -55.95		 11.41   	  25.43		
 16.46   	 -55.95		 11.52   	  25.43		
 16.24   	 -50.86		 11.62   	  20.35		
 16.03   	 -50.86		 11.70   	  15.26		
 15.83   	 -40.69		 11.76   	  15.26		
 15.67   	 -45.78		 11.82   	  20.35		
 15.48   	 -35.61		 11.90   	  15.26		
 15.34   	 -35.61		 11.96   	  20.35		
 15.20   	 -25.43		 12.04   	  25.43		
 15.10   	 -25.43		 12.15   	  25.43		
 14.99   	 -20.35		 12.25   	  20.35		
 14.91   	 -20.35		 12.33   	  25.43		
 14.83   	 -15.26		 12.43   	  20.35		
 14.77   	 -20.35		 12.51   	  20.35		
 14.69   	 -15.26		 12.59   	  20.35		
 14.63   	 -20.35		 12.68   	  20.35		
 14.55   	 -20.35		 12.76   	  10.17		
 14.47   	 -15.26		 12.80   	  10.17		
 14.40   	 -20.35		 12.84   	  10.17		
 14.32   	 -15.26		 12.88   	  10.17		
 14.26   	 -15.26		 12.92   	  10.17		
 14.20   	 -15.26		 12.96   	  15.26		
 14.14   	 -10.17		 13.02   	  10.17		
 14.10   	 -15.26		 13.06   	   5.09		
 14.04   	  -5.09		 13.08   	   5.09		
 14.02   	  -5.09		 13.10   	  10.17		
 14.00   	  -5.09		 13.14   	  15.26		
 13.98   	  -5.09		 13.20   	  15.26		
 13.96(D)	   5.09		 13.27   	  15.26		
 13.98   	   5.09		 13.33   	  10.17		
 14.00   	  10.17		 13.37   	  10.17		
 14.04   	  20.35		 13.41   	  10.17		
 14.12   	  15.26		 13.45   	  10.17		
 14.18   	  20.35		 13.49   	  20.35		
 14.26   	  10.17		 13.57   	  15.26		
 14.30   	  10.17		 13.63   	  20.35		
 14.34   	  10.17		 13.71   	  15.26		
 14.38   	  10.17		 13.77   	  25.43		
 14.43   	   5.09		 13.88   	  25.43		
 14.45   	   0.00		 13.98   	  20.35		
 14.45   	   0.00		 14.06(E)	  15.26		
 14.45   	  -5.09		 14.12   	  10.17		
 14.43   	  -5.09		 14.16   	  10.17		
 14.40   	  -5.09		 14.20   	  10.17		
 14.38   	 -10.17		 14.24   	  20.35		
 14.34   	 -10.17		 14.32   	  25.43		
 14.30   	  -5.09		 14.43   	  40.69		
 14.28   	  -5.09		 14.59   	  55.95		
 14.26   	  -5.09		 14.81   	  81.38		
 14.24   	   5.09		 15.14   	 111.90		
 14.26   	  15.26		 15.58   	 152.59		
 14.32   	  25.43		 16.20   	 193.29		
 14.43   	  40.69		 16.97   	 228.89		
 14.59   	  55.95		 17.88   	 264.50		
 14.81   	  76.30		 18.94   	 300.10		
 15.12   	 106.82		 20.14   	 330.62		
 15.54   	 132.25		 21.46   	 412.00		
 16.07   	 172.94		 23.11   	 539.16		
 16.76   	 218.72		 25.27   	 645.98		
 17.64   	 228.89		 27.85   	 712.10		
 18.56   	 167.85		 30.70   	 762.97		
 19.23   	  71.21		 33.75   	 803.66		
 19.51   	  50.86		 36.97   	 813.83		
 19.72   	  55.95		 40.22   	 808.75		
 19.94   	  61.04		 43.46   	 813.83		
 20.18   	  61.04		 46.71   	 712.10		
 20.43   	  66.12		 49.56   	 656.15		
 20.69   	  91.56		 52.19   	 620.55		
 21.06   	 111.90		 54.67   	 595.11		
 21.51   	 116.99		 57.05   	 574.77		
 21.97   	 116.99		 59.35   	 559.51		
 22.44   	 116.99		 61.59   	 493.39		
 22.91   	 111.90		 63.56   	 417.09		
 23.36   	 106.82		 65.23   	 406.92		
 23.78   	  91.56		 66.86   	 396.74		
 24.15   	  81.38		 68.44   	 361.14		
 24.48   	  71.21		 69.89   	 315.36		
 24.76   	  45.78		 71.15   	 310.27		
 24.94   	  35.61		 72.39   	 284.84		
 25.09   	  20.35		 73.53   	 259.41		
 25.17   	  20.35		 74.57   	 239.06		
 25.25   	  10.17		 75.52   	 223.80		
 25.29   	   0.00		 76.42   	 213.63		
 25.29   	   0.00		 77.27   	 198.37		
 25.29   	   0.00		 78.07   	 178.03		
 25.29   	  15.26		 78.78   	 157.68		
 25.35   	  35.61		 79.41   	 137.33		
 25.49   	  45.78		 79.96   	 116.99		
 25.68   	  45.78		 80.43   	 111.90		
 25.86   	  55.95		 80.87   	  91.56		
 26.08   	  55.95		 81.24   	  76.30		
 26.31   	  35.61		 81.55   	  55.95		
 26.45   	  25.43		 81.77   	  45.78		
 26.55   	  25.43		 81.95   	  35.61		
 26.65   	  10.17		 82.10   	  25.43		
 26.69   	   5.09		 82.20   	  25.43		
 26.71   	   5.09		 82.30   	  20.35		
 26.73   	   0.00		 82.38   	   5.09		
 26.73   	 -15.26		 82.40(S)	  -5.09		
 26.67   	 -10.17		 82.38   	 -10.17		
 26.63   	   0.00		 82.34   	 -25.43		
 26.63   	   5.09		 82.24   	 -20.35		
 26.65   	  15.26		 82.16   	 -15.26		
 26.71   	  30.52		 82.10   	 -25.43		
 26.84   	  25.43		 81.99   	 -25.43		
 26.94   	  30.52		 81.89   	 -25.43		
 27.06   	  30.52		 81.79   	 -25.43		
 27.18   	  15.26		 81.69   	 -25.43		
 27.24   	  10.17		 81.59   	 -35.61		
 27.28   	  10.17		 81.44   	 -30.52		
 27.32(S)	   0.00		 81.32   	 -20.35		
 27.32   	 -10.17		 81.24   	 -30.52		
 27.28   	 -10.17		 81.12   	 -45.78		
 27.24   	 -15.26		 80.94   	 -50.86		
 27.18   	  -5.09		 80.73   	 -50.86		
 27.16   	  -5.09		 80.53   	 -55.95		
 27.14   	 -10.17		 80.30   	 -50.86		
 27.10   	  -5.09		 80.10   	 -50.86		
 27.08   	  -5.09		 79.90   	 -61.04		
 27.06   	  -5.09		 79.65   	 -76.30		
 27.04   	  -5.09		 79.35   	 -81.38		
 27.02   	  -5.09		 79.02   	 -76.30		
 27.00   	 -10.17		 78.72   	 -81.38		
 26.96   	   0.00		 78.39   	 -96.64		
 26.96   	 -10.17		 78.01   	-101.73		
 26.92   	 -10.17		 77.60   	-101.73		
 26.88   	 -15.26		 77.19   	-111.90		
 26.82   	 -20.35		 76.74   	-132.25		
 26.73   	 -20.35		 76.22   	-147.51		
 26.65   	 -20.35		 75.63   	-157.68		
 26.57   	 -20.35		 74.99   	-188.20		
 26.49   	 -25.43		 74.24   	-223.80		
 26.39   	 -20.35		 73.35   	-274.67		
 26.31   	 -30.52		 72.25   	-330.62		
 26.19   	 -40.69		 70.93   	-401.83		
 26.02   	 -45.78		 69.32   	-473.04		
 25.84   	 -61.04		 67.43   	-564.60		
 25.60   	 -76.30		 65.17   	-661.24		
 25.29   	 -96.64		 62.52   	-798.57		
 24.90   	-111.90		 59.33   	-946.08		
 24.46   	-127.16		 55.54   	-991.86		
 23.95   	-152.59		 51.58   	-946.08		
 23.34   	-172.94		 47.79   	-956.25		
 22.64   	-152.59		 43.97   	-966.43		
 22.03   	-106.82		 40.10   	-920.65		
 21.61   	 -61.04		 36.42   	-818.92		
 21.36   	 -20.35		 33.14   	-727.36		
 21.28   	  15.26		 30.23   	-640.89		
 21.34   	  55.95		 27.67   	-559.51		
 21.57   	  91.56		 25.43   	-483.21		
 21.93   	 116.99		 23.50   	-422.18		
 22.40   	 127.16		 21.81   	-386.57		
 22.91   	 132.25		 20.26   	-350.97		
 23.44   	 122.07		 18.86   	-335.71		
 23.93   	 116.99		 17.52   	-320.45		
 24.39   	 101.73		 16.24   	-315.36		
 24.80   	  86.47		 14.97   	-295.01		
 25.15   	  71.21		 13.79   	-295.01		
 25.43   	  55.95		 12.61   	-295.01		
 25.66   	  40.69		 11.43   	-279.75		
 25.82   	  30.52		 10.32   	-249.24		
 25.94   	  10.17		  9.32   	-218.72		
 25.98   	 -20.35		  8.44   	-183.11		
 25.90   	 -35.61		  7.71   	-132.25		
 25.76   	 -35.61		  7.18   	 -91.56		
 25.62   	 -55.95		  6.82   	 -61.04		
 25.39   	 -86.47		  6.57   	 -40.69		
 25.05   	 -91.56		  6.41   	  -5.09		
 24.68   	 -86.47		  6.39(D)	  35.61		
 24.33   	 -91.56		  6.53   	  35.61		
 23.97   	-106.82		  6.67   	  20.35		
 23.54   	-122.07		  6.75   	  25.43		
 23.05   	-127.16		  6.86   	  66.12		
 22.54   	-122.07		  7.12   	  71.21		
 22.05   	-101.73		  7.41   	  61.04		
 21.65   	 -81.38		  7.65   	  45.78		
 21.32   	 -91.56		  7.83   	  55.95		
 20.96   	 -86.47		  8.06   	  55.95		
 20.61   	 -55.95		  8.28   	  35.61		
 20.39   	 -30.52		  8.42   	  20.35		
 20.26   	 -30.52		  8.50   	  25.43		
 20.14   	 -40.69		  8.61   	  30.52		
 19.98   	 -40.69		  8.73   	  20.35		
 19.82   	 -45.78		  8.81   	  15.26		
 19.63   	 -50.86		  8.87   	  30.52		
 19.43   	 -61.04		  8.99   	  30.52		
 19.19   	 -55.95		  9.11   	  25.43		
 18.96   	 -35.61		  9.22   	  25.43		
 18.82   	 -35.61		  9.32   	  35.61		
 18.68   	 -50.86		  9.46   	  35.61		
 18.47   	 -40.69		  9.60   	  40.69		
 18.31   	 -30.52		  9.77   	  40.69		
 18.19   	 -45.78		  9.93   	  40.69		
 18.01   	 -45.78		 10.09   	  40.69		
 17.82   	 -45.78		 10.25   	  45.78		
 17.64   	 -40.69		 10.44   	  45.78		
 17.48   	 -45.78		 10.62   	  45.78		
 17.29   	 -50.86		 10.80   	  50.86		
 17.09   	 -45.78		 11.01   	  40.69		
 16.91   	 -50.86		 11.17   	  40.69		
 16.70   	 -50.86		 11.33   	  35.61		
 16.50   	 -50.86		 11.48   	  25.43		
 16.30   	 -45.78		 11.58   	  25.43		
 16.11   	 -40.69		 11.68   	  20.35		
 15.95   	 -40.69		 11.76   	  25.43		
 15.79   	 -40.69		 11.86   	  15.26		
 15.63   	 -35.61		 11.92   	  20.35		
 15.48   	 -35.61		 12.00   	  15.26		
 15.34   	 -35.61		 12.07   	  10.17		
 15.20   	 -35.61		 12.11   	  20.35		
 15.06   	 -30.52		 12.19   	  20.35		
 14.93   	 -25.43		 12.27   	  30.52		
 14.83   	 -25.43		 12.39   	  20.35		
 14.73   	 -20.35		 12.47   	  25.43		
 14.65   	 -20.35		 12.57   	  20.35		
 14.57   	 -15.26		 12.66   	  25.43		
 14.51   	 -10.17		 12.76   	  20.35		
 14.47   	  -5.09		 12.84   	  20.35		
 14.45   	  -5.09		 12.92   	  15.26		
 14.43   	  -5.09		 12.98   	  15.26		
 14.40   	 -10.17		 13.04   	  10.17		
 14.36   	 -15.26		 13.08   	   5.09		
 14.30   	 -20.35		 13.10   	   0.00		
 14.22   	 -10.17		 13.10   	  10.17		
 14.18   	 -10.17		 13.14   	  10.17		
 14.14   	 -15.26		 13.18   	  10.17		
 14.08   	 -10.17		 13.22   	  10.17		
 14.04   	  -5.09		 13.27   	  10.17		
 14.02   	  -5.09		 13.31   	  15.26		
 14.00(D)	   0.00		 13.37   	   5.09		
 14.00   	  15.26		 13.39   	  15.26		
 14.06   	  20.35		 13.45   	  15.26		
 14.14   	  20.35		 13.51   	  15.26		
 14.22   	  20.35		 13.57   	  20.35		
 14.30   	  15.26		 13.65   	  15.26		
 14.36   	  10.17		 13.71   	  20.35		
 14.40   	  10.17		 13.79   	  25.43		
 14.45   	   0.00		 13.90   	  25.43		
 14.45   	   0.00		 14.00   	  20.35		
 14.45   	 -10.17		 14.08(E)	  15.26		
 14.40   	 -10.17		 14.14   	  10.17		
 14.36   	 -10.17		 14.18   	  10.17		
 14.32   	 -10.17		 14.22   	   5.09		
 14.28   	 -10.17		 14.24   	  15.26		
 14.24   	  -5.09		 14.30   	  15.26		
 14.22   	   0.00		 14.36   	  35.61		
 14.22   	   0.00		 14.51   	  55.95		
 14.22   	   0.00		 14.73   	  86.47		
 14.22   	   5.09		 15.08   	 116.99		
 14.24   	  15.26		 15.54   	 147.51		
 14.30   	  30.52		 16.13   	 188.20		
 14.43   	  35.61		 16.89   	 218.72		
 14.57   	  55.95		 17.76   	 254.32		
 14.79   	  71.21		 18.78   	 289.93		
 15.08   	 101.73		 19.94   	 315.36		
 15.48   	 137.33		 21.20   	 381.48		
 16.03   	 172.94		 22.73   	 508.65		
 16.72   	 223.80		 24.76   	 620.55		
 17.62   	 254.32		 27.24   	 707.02		
 18.64   	 188.20		 30.07   	 762.97		
 19.39   	  81.38		 33.12   	 803.66		
 19.72   	  40.69		 36.34   	 818.92		
 19.88   	  45.78		 39.61   	 803.66		
 20.06   	  35.61		 42.83   	 818.92		
 20.20   	  45.78		 46.10   	 727.36		
 20.39   	  61.04		 49.01   	 661.24		
 20.63   	  76.30		 51.66   	 630.72		
 20.94   	  91.56		 54.18   	 595.11		
 21.30   	 111.90		 56.56   	 574.77		
 21.75   	 116.99		 58.86   	 559.51		
 22.22   	 116.99		 61.10   	 508.65		
 22.69   	 122.07		 63.13   	 427.26		
 23.17   	 111.90		 64.84   	 412.00		
 23.62   	 106.82		 66.49   	 401.83		
 24.05   	  96.64		 68.10   	 361.14		
 24.44   	  76.30		 69.54   	 320.45		
 24.74   	  55.95		 70.82   	 300.10		
 24.96   	  40.69		 72.02   	 289.93		
 25.13   	  25.43		 73.18   	 264.50		
 25.23   	  20.35		 74.24   	 244.15		
 25.31   	  10.17		 75.22   	 233.98		
 25.35   	  -5.09		 76.15   	 218.72		
 25.33   	  -5.09		 77.03   	 203.46		
 25.31   	  15.26		 77.84   	 178.03		
 25.37   	  15.26		 78.56   	 162.77		
 25.43   	   5.09		 79.21   	 142.42		
 25.45   	  30.52		 79.78   	 122.07		
 25.57   	  50.86		 80.26   	 111.90		
 25.78   	  50.86		 80.71   	  91.56		
 25.98   	  40.69		 81.08   	  71.21		
 26.14   	  40.69		 81.36   	  61.04		
 26.31   	  35.61		 81.61   	  55.95		
 26.45   	  20.35		 81.83   	  45.78		
 26.53   	  10.17		 82.01   	  35.61		
 26.57   	  20.35		 82.16   	  30.52		
 26.65   	  25.43		 82.28   	  10.17		
 26.75   	  15.26		 82.32   	   5.09		
 26.82   	  15.26		 82.34   	   5.09		
 26.88   	  10.17		 82.36(S)	   0.00		
 26.92   	  10.17		 82.36   	 -10.17		
 26.96   	   5.09		 82.32   	 -15.26		
 26.98   	  15.26		 82.26   	 -20.35		
 27.04   	  10.17		 82.18   	 -20.35		
 27.08   	  10.17		 82.10   	 -25.43		
 27.12   	  10.17		 81.99   	 -20.35		
 27.16   	   5.09		 81.91   	 -20.35		
 27.18   	   5.09		 81.83   	 -25.43		
 27.20   	   0.00		 81.73   	 -35.61		
 27.20   	   5.09		 81.59   	 -35.61		
 27.22   	  10.17		 81.44   	 -35.61		
 27.26   	  10.17		 81.30   	 -30.52		
 27.30   	  20.35		 81.18   	 -35.61		
 27.39   	  25.43		 81.04   	 -45.78		
 27.49   	  25.43		 80.85   	 -35.61		
 27.59   	  15.26		 80.71   	 -30.52		
 27.65   	  15.26		 80.59   	 -45.78		
 27.71   	  15.26		 80.41   	 -66.12		
 27.77   	  10.17		 80.14   	 -66.12		
 27.81(S)	   0.00		 79.88   	 -61.04		
 27.81   	   0.00		 79.63   	 -71.21		
 27.81   	  -5.09		 79.35   	 -81.38		
